title,genres,vote_average,popularity,spoken_languages
"RRR","[{'name': 'Action'}, {'name': 'Drama'}]",8.9,95,"[{'iso_639_1': 'te'}, {'iso_639_1': 'hi'}, {'iso_639_1': 'ta'}]"
"Baahubali 2","[{'name': 'Action'}, {'name': 'Fantasy'}]",8.7,93,"[{'iso_639_1': 'te'}, {'iso_639_1': 'hi'}, {'iso_639_1': 'ta'}, {'iso_639_1': 'ml'}]"
"Pushpa: The Rise","[{'name': 'Action'}, {'name': 'Thriller'}]",8.2,85,"[{'iso_639_1': 'te'}, {'iso_639_1': 'hi'}, {'iso_639_1': 'ta'}, {'iso_639_1': 'kn'}]"
"Kantara","[{'name': 'Action'}, {'name': 'Drama'}]",8.6,88,"[{'iso_639_1': 'kn'}, {'iso_639_1': 'hi'}, {'iso_639_1': 'ta'}]"
"Jawan","[{'name': 'Action'}, {'name': 'Thriller'}]",7.8,80,"[{'iso_639_1': 'hi'}, {'iso_639_1': 'te'}, {'iso_639_1': 'ta'}]"
"Vikram","[{'name': 'Action'}, {'name': 'Thriller'}]",8.4,89,"[{'iso_639_1': 'ta'}, {'iso_639_1': 'hi'}, {'iso_639_1': 'te'}]"
"Dangal","[{'name': 'Drama'}, {'name': 'Sport'}]",8.8,92,"[{'iso_639_1': 'hi'}]"
"Drishyam 2","[{'name': 'Thriller'}, {'name': 'Mystery'}]",8.3,87,"[{'iso_639_1': 'ml'}, {'iso_639_1': 'hi'}]"
"Super Deluxe","[{'name': 'Drama'}, {'name': 'Mystery'}]",8.5,86,"[{'iso_639_1': 'ta'}]"
"KGF Chapter 2","[{'name': 'Action'}, {'name': 'Drama'}]",8.7,90,"[{'iso_639_1': 'kn'}, {'iso_639_1': 'hi'}, {'iso_639_1': 'te'}, {'iso_639_1': 'ta'}]"
